Code,Property,Address,City,Zip,State
445,THE CREST APARTMENTS,13950 FOOTHILL BLVD.,SYLMAR,91342,CA
455,PALM TERRACE,15116 PARTHENIA ST.,NORTH HILLS,91343,CA
3950,VERMONT CITY LIGHTS II,500 UNION DR.,LOS ANGELES,90017,CA
4000,VERMONT CITY LIGHTS I,4215 S VERMONT AVE.,LOS ANGELES,90037,CA
4050,COURTLAND CITY LIGHTS,1355 W. COURT ST.,LOS ANGELES,90026,CA
4150,HUNTINGTON HACIENDA 1,4688 S HUNTINGTON DR.,LOS ANGELES,90032,CA
4200,ADAMS CITY LIGHTS,4471 W. ADAMS BLVD.,LOS ANGELES,90016,CA
4250,ANGELS CITY LIGHTS,13915 W. OXNARD ST.,VAN NUYS,91401,CA
4300,BEVERLY CITY LIGHTS,107 S CARONDELET ST.,LOS ANGELES,90057,CA
4350,BROADWAY VISTA,9800 S. BROADWAY,LOS ANGELES,90003,CA
4400,COCHRAN CITY LIGHTS,1315 S COCHRAN AVE.,LOS ANGELES,90019,CA
4450,GARLAND CITY LIGHTS,1209 W. 8TH ST.,LOS ANGELES,90017,CA
4500,GATEWAY CITY LIGHTS,522 W. 127TH ST.,LOS ANGELES,90044,CA
4550,GRANDVIEW CITY LIGHTS,831-837 GRANDVIEW ST.,LOS ANGELES,90057,CA
4600,HAPPY VALLEY CITY LIGHTS,2580 N. SOTO ST.,LOS ANGELES,90032,CA
4650,MELROSE APARTMENTS,4444 N. 7TH AVE.,PHOENIX,85013,AZ
4700,WESTLAKE CITY LIGHTS,509 WESTLAKE AVE.,LOS ANGELES,90057,CA
4750,WILSHIRE CITY LIGHTS,716 S. CARONDELET ST.,LOS ANGELES,90057,CA
4800,WITMER CITY LIGHTS,319 S WITMER ST.,LOS ANGELES,90017,CA
4850,MISSION CITY LIGHTS,9121 N. SEPULVEDA  BLVD.,NORTH HILLS,91343,CA
4900,RAINTREE,1058 S. WINCHESTER BLVD.,SAN JOSE,95128,CA
4950,SAGEWOOD,16217 STONEBRIDGE PARKWAY,SAN DIEGO,92131,CA
5000,ATRIUM COURT,3801 DUCKHORN DR.,SACRAMENTO,95834,CA
5050,SPRINGBROOK GROVE,435 ALTURAS ROAD,FALLBROOK,92028,CA
5100,GENEVA VILLAGE,1550 E. CHURCH AVE.,FRESNO,93706,CA
5150,TANAGER SPRINGS I,2187 S. MAPLE AVE.,FRESNO,93725,CA
5200,TANAGER SPRINGS II,2123 S. MAPLE AVE.,FRESNO,93725,CA
5250,ALAMEDA TERRACE,11919 S. FIGUEROA ST.,LOS ANGELES,90061,CA
5300,FIGUEROA PLACE,1320 W. SUNSET BLVD.,LOS ANGELES,90026,CA
5350,HARVARD CIRCLE,952 N. HARVARD BLVD.,LOS ANGELES,90029,CA
5400,MAIN STREET VISTAS,5950 S. MAIN ST.,LOS ANGELES,90003,CA
5450,MENLO PARK,831 W. 70TH ST.,LOS ANGELES,90044,CA
5500,THE MEDITERRANEAN,1800 W. TEMPLE ST.,LOS ANGELES,90026,CA
5550,VALLEY VIEW,9015 ORION AVE.,NORTH HILLS,91343,CA
5600,CORTEZ CITY LIGHTS,1612-1620 W CORTEZ ST.,LOS ANGELES,90026,CA
5650,RUNNYMEDE SPRINGS,20422 COHASSET ST.,WINNETKA,91306,CA
5700,STUDIO POINTE (WILTON),915 N. WILTON PLACE,LOS ANGELES,90038,CA
5750,SONOMA APT,38551/38561 11TH ST. EAST,PALMDALE,93550,CA
5800,YALE TERRACE,716 YALE ST.,LOS ANGELES,90012,CA
